Filename,Predictions
images\1.png,1
images\10.png,1
images\100.png,1
images\11.png,1
images\12.png,1
images\13.png,1
images\14.png,1
images\15.png,1
images\16.png,1
images\17.png,1
images\18.png,1
images\19.png,1
images\2.png,1
images\20.png,1
images\21.png,1
images\22.png,1
images\23.png,0
images\24.png,1
images\25.png,1
images\26.png,1
images\27.png,0
images\28.png,1
images\29.png,1
images\3.png,1
images\30.png,1
images\31.png,1
images\32.png,1
images\33.png,0
images\34.png,1
images\35.png,1
images\36.png,1
images\37.png,1
images\38.png,1
images\39.png,0
images\4.png,1
images\40.png,1
images\41.png,1
images\42.png,1
images\43.png,1
images\44.png,1
images\45.png,1
images\46.png,1
images\47.png,1
images\48.png,1
images\49.png,1
images\5.png,1
images\50.png,1
images\51.png,1
images\52.png,1
images\53.png,1
images\54.png,0
images\55.png,1
images\56.png,1
images\57.png,1
images\58.png,1
images\59.png,1
images\6.png,1
images\60.png,0
images\61.png,0
images\62.png,1
images\63.png,1
images\64.png,1
images\65.png,1
images\66.png,1
images\67.png,1
images\68.png,1
images\69.png,1
images\7.png,1
images\70.png,1
images\71.png,1
images\72.png,0
images\73.png,1
images\74.png,1
images\75.png,0
images\76.png,1
images\77.png,1
images\78.png,1
images\79.png,1
images\8.png,0
images\80.png,1
images\81.png,1
images\82.png,1
images\83.png,1
images\84.png,1
images\85.png,1
images\86.png,1
images\87.png,1
images\88.png,1
images\89.png,1
images\9.png,0
images\90.png,1
images\91.png,1
images\92.png,1
images\93.png,0
images\94.png,1
images\95.png,1
images\96.png,1
images\97.png,1
images\98.png,1
images\99.png,1
